pair,kind,k,n_queries,precision@k,recall@k,f1@k,f1@k_std,avg_retrieval_time_ms
optical->optical,same,5,45,0.5422,0.1078,0.1798,0.0984,0.2003
optical->optical,same,10,45,0.5267,0.2099,0.3,0.1537,0.2003
multispectral->multispectral,same,5,45,0.6622,0.1328,0.2211,0.0954,0.0479
multispectral->multispectral,same,10,45,0.6133,0.2453,0.3503,0.1526,0.0479
sar->sar,same,5,45,0.3422,0.0685,0.1141,0.0972,0.0359
sar->sar,same,10,45,0.3689,0.1476,0.2108,0.1384,0.0359
optical->multispectral,cross,5,45,0.5289,0.106,0.1765,0.1148,0.0275
optical->multispectral,cross,10,45,0.5267,0.2103,0.3005,0.1676,0.0275
multispectral->optical,cross,5,45,0.6089,0.1221,0.2033,0.1002,0.0279
multispectral->optical,cross,10,45,0.5822,0.2328,0.3324,0.1526,0.0279
optical->sar,cross,5,45,0.2533,0.0496,0.0829,0.0791,0.0285
optical->sar,cross,10,45,0.2511,0.099,0.1419,0.1133,0.0285
sar->optical,cross,5,45,0.2089,0.0412,0.0687,0.0993,0.0533
sar->optical,cross,10,45,0.1978,0.0781,0.1119,0.1407,0.0533
multispectral->sar,cross,5,45,0.2933,0.0574,0.096,0.0814,0.0341
multispectral->sar,cross,10,45,0.2733,0.1073,0.1541,0.1065,0.0341
sar->multispectral,cross,5,45,0.2133,0.0425,0.0708,0.0998,0.0486
sar->multispectral,cross,10,45,0.2356,0.0947,0.1349,0.1663,0.0486
